총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.2,엔바이오니아(주),2022. 08,1점,"""주먹구구, 있는직원들 돌려서 부서 만들기, 회의하다가 고함은 기본.
남들이 이것도 하고 저것도 하니까 이거 저거 다 함.
복지1도없음.""",미래는 있긴하나 개발비로 개발은 안하고 이것저것 사기 바쁨.,"스톡옵션은 사무직 직원들만 줌.
생산팀 현장직원은 입쓱 닦음.",하계휴가 정도는 회사에서 좀 보내주면 좋겠다. 개인 연차로 가는것이 아니라.
2.2,엔바이오니아(주),2022. 07,3점,"""새롭게 재도약을 준비하는 회사로서 인재채용의 어려움 등으로 도약기가 힘듦. 하지만 미래는 밝음""","대체휴가 사용 및 각종 복지정책(내일채움공제 등) 에 지속적인 투자를 하고 있으며, 가족같은 분위기 조성에 힘쓰고 있는 회사","업무의 비효율적인 부분이 너무 많아 일의 진행에 힘이 듦. 또한, 잦은 이직으로 인한 업무 공백을 메우기 위해 너무 힘이 듦",사업 투진에 있는 직원들의 말을 들을 필요는 있지만 너무 직원들에게 휩쓸려 정책을 펴지 않았으면 좋겠음.
2.2,엔바이오니아(주),2022. 06,2점,"""하고싶은대로 하는건 좋은데 직원좀 생각하자""",자유로움을 추구하지만 조직체계가 없어 빠른 시간 내 입지를 굳힐 수 있다,"비효율적 업무처리, 체계없는 조직, 직원은 곧 일개미 성과는 팀장의 몫, 기준없는 연봉","직원 좀 바라보고 같이 일을 했으면, 즉흥적 결정은 하지 않았으면"
2.2,엔바이오니아(주),2022. 04,1점,"""근속연수가 짧은건 이유가 있음. 이유를 제거 못함""",무슨 장점이 있는지 모르겠음... 어떻게 입사했을까 싶은 사람까지 월급은 따박따박 챙겨줌. 뭐.... 월급은 줌,정부과제가 너무 많음. 과제비가 목적이라 과제에 대한 제대로된 실제 실적이 없음. 과제비 외 개발에 투자하려 하지 않음. 그나마 쓰는 과제비도 쓰는 과정이 험난함,본인들이 결정한 사항이 잘못됐으면 책임은 본인들이 지시길... 제발 이랬다 저랬다 쉽게 지시사항 바꾸지 마시길...
2.2,엔바이오니아(주),2021. 11,1점,"""사장이 왕인 회사 듣고 싶은 것만 들을려는 경향이 있습니다
미래가 점점 없어지는 추세""","제천에 있다면 출퇴근이 용이 워라벨 만들면 만들수 있는 회사
나만 아는 사람이 많은회사","꼰대문화 위로갈수록 답이없음
클수 있는 회사 지만 경영 방침이 별로인 회사
직원들이 힘듬","직원들 생각좀 ..
자신만 알지 말고 다둘러볼필요가있음"
2.2,엔바이오니아(주),2021. 07,3점,"""주식 상장 후 상승세를 보이고있는 기업""","업무 분담이 체계적임, 젊은 세대의 인력이 많음, 근무복장이 자유로움","복지가 안좋음, 근무를 위하여 회사 용품을 사용하는데도 불구하고 눈치보임",복지에 좀 더 신경써주셨으면 좋겠습니다.
2.2,엔바이오니아(주),2021. 07,3점,"""방향이 없다
어느 방향으로 가는지 잘 모르는 게 현실""","야근을 강요하지 않음
시간되면 퇴근할 수 있음
관리가 안되는게 장점","프로세스 없음
청소직원이 없어 사무실 전 직원 청소
돈 적게 줌","권한과 책임에 대해서 이해를 하기 바란다
방향을 명확하게 제시바란다"
2.2,엔바이오니아(주),2021. 06,2점,"""연봉 및 복지를 바라지 않고 더욱 큰 곳을 가기위한 발판정도로 가능한 회사임""","워라벨이 가능하며 퇴근 시간 정시에 가능 , 회사군기가 없음 , 분위가 무겁지 않음","연봉이 낮고 복지가 없음 , 외부평가와 다르게 중구난방 업무 소심한 투자 몇몇 고인물들이 무능력함이 높은 회사임","연봉인상 폭 확대 및 회사 복지 확대 , 편중된 평가가 아닌 정당한 평가"
2.2,엔바이오니아(주),2021. 04,2점,"""지역특성이라기 보단 회사수장들이 만드는 근무환경으로 튀지 않게 하는일만 그냥그냥""",중식 제공 좋은 공기 학교같은 분위기 열심히 일하면 더 열심히 일하게 됨 사람들은 순함,엄청난 회의시간 비효율적인 업무체계 휴가결재도 사장까지 휴가쓰면 일없고 야근하면 열심히하는줄 아는 8090스타일 가족회사^^,진보하지 않으면 퇴화한다 구시대적 발상과 의미없는 평가 덜주기위해 노력하다간 좋은 사람들 다 나감
2.2,엔바이오니아(주),2019. 12,2점,"""필터제조업의 특성상 근무환경이 매우 열악하며 외국인노동자도 같이 근무함""",사업다각화로 매출이 점점 안정화 되어가고 있어 향후 발전가능성이 큼,필터제조업의 특성상 근무환경이 매우 열악하며 생산직은 계약직2년 후에 정규직 전환된다함,열악한 근무환경에서 일하는 현장직군의 올바른 급여개선 및 근무처우가 절실함
2.2,엔바이오니아(주),2019. 06,4점,"""상당한 기술력을 바탕으로 이루어진 기업이며 코스닥 상장을 앞두고있는 전도유망한 기업이지만 매출이 한쪽으로 지나치게 기울어져있는 불안한 기업""","연차의 자유, 편안한 업무분위기, 연구를 위한 해외 전시회참석, 회식의 자유 등등",연구 이외 부서에대한 지원이 미흡하며 동조업계에 비해 낮은임금이 단점. 제천연구소로 잦은출장을 하여 퇴근이 늦어짐.,적극적인 투자와 연구 이외부서의 이야기를 수렴하고 반영해주셨으면 좋겠습니다.
2.2,엔바이오니아(주),2019. 05,2점,"""내부 회의가 많고 회의 시간이 아주 김,
회의 대신 그 시간에 업무를 하면 회사가 더욱 커질 수 있음.""","연차 사용에 눈치를 많이 안 봄.
직원들은 서로 사이가 좋음.","아주 낮은 연봉.
복지 전혀 없음.
내부 조직 체계가 갖춰지지 않아 체계가 없음.
보고를 위한 끝없는 회의.
경영진의 즉흥적인 의사결정.",가장 기본적인 출근 시간 준수에 경영진도 포함된다는 사실을 인지해주길 바람.
2.2,엔바이오니아(주),2019. 04,3점,"""정수기 필터를 독점 납품하는 나름 알짜 기업이라고 인정받으나 명성에 비해 사내 시스템이 아주 취약함. 아직 갈길이 멀음""",본사 내 인원이 적다보니 가족적인 분위기로 직원들끼리 끈끈함. 역과 가까운 곳에 위치하여 출퇴근이 용이하고 야근을 강요하지 않음,주먹구구식의 업무가 많고 대부분 오래 일한 사람들이기 때문에 자기 주장이 강해 협업이 안되는 경우가 있음. 매출액에 비해 사내 복지나 직원에 대한 투자가 거의 없음.,직원들을 위한 합리적인 보상 체계와 개개인을 보기보단 전체적인 직무 체계를 다시 설정할 필요가 있다고 생각함
2.2,엔바이오니아(주),2019. 04,2점,"""기업은 성장하나 근로자는 힘든 곳
근로환경이 좋지않음
커뮤니케이션도 부족""","텃세없음
식사 맛있음
솔직히 장점을 쓰라는데
장점을 쓸게 없네요","작업환경이 좋지않음
분진과 소음
외국인 근로자 다수 대화가 안통함","작업환경에 신경을 좀 써주시길
마스크 작업복등
자기 몸 버리는 줄 알면서
그누가 오랫동안 일할 수 있겠나요"
2.2,엔바이오니아(주),2016. 02,2점,"""필터 연구 개발에는 괜찮은 회사이나, 연봉이 적으며, 잔업이 많다.""",연차를 상사의 눈치없이 쓸수 있다. 개인 시간 활용이 가능하다. 연구개발에 투자를 많이 한다. 승진 기회가 많다.,"복지제도가 없다. 출근시간은 8시 30분이나 퇴근시간은 정해진게 없으며, 연봉이 너무 낮다.",직원들의 물만을 듣지만 말고 반영을 하였으면 좋겠다. 또한 직원들의 의견을 들어주었으면 좋겠다.
