총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.6,(주)피에이치씨,2022. 09,2점,"""이것 저것 각자 하는 게 달라서 서로 뭐하는지 모르는 회사""","가끔 빨간 날 전날 대표님 재량으로 일찍 집에 보내줌
점심 식대를 연봉에 따로 챙겨 주는 게 장점인가? 뗄 건 다 떼지 않는가?
듣보잡 브랜드들로 작은 복지몰 앱 있어서 직원가 구매 가능","체계가 너무 없음
배울 점이 없음
사람들 수준이 낮음
회사가 아파트에 있음",회사의 발전을 위해 괜찮은 인력 배치 해주시면 좋을 것 같고 밑의 사람들이 따를 만한 방향성 제시가 너무나도 부족함.
2.6,(주)피에이치씨,2022. 05,5점,"""전체적으로 틀이 잡혀있고 복지도 늘어나고 있는 추세다 사람들도 괜찮았다""","연차를 편하게 사용할 수 있다
특별한일 없을땐 야근이 없다
식대를 지원해 준다
사무실이 깔끔하다
역세권이라 출퇴근이 용이하다","탄력근무제를 원했지만 시행되고 있지 않았다
커가고 있는 기업이라 인사이동이 있다","요즘 다른 회사들도 많이 도입하고 있는 탄력근무제 , 복지 등등 더 효율적인 방안을 마련함으로써 일할때 능률이 좋은 환경이 조성되면 좋을 것 같다"
2.6,(주)피에이치씨,2022. 04,1점,"""무슨일을 하는것같지만 아무일도 일어나지 않는회사""","연차 사용 자유롭다
점심 식대 지원해준다
야근 없다
아무생각없이 다닐수있다","물경력
이력서에 쓸게없다 진짜 쓸게없다
뭘하는회사인지 모르겠다",주식처럼 겉으로 보여지는것만 생각하지말고 내실을 챙기길바람
2.6,(주)피에이치씨,2022. 03,2점,"""치열하기보단 조용하고 아무일 없는 회사를 바란다면 추천""","연차 사용이 자유로움, 야근 강요하지 않음, 회사가 매우 조용함","업무 만족도가 낮음, 야근 하는 사람은 결국 하게 됨.",가장 말단 실무진이 어떻게 일하고 있는지 관심가져주시길
2.6,(주)피에이치씨,2022. 03,3점,"""회사가 너무 다양한 분야를 하고 있다는 생각입니다
이런점이 장점이 될수도 있고 단점이 될수도 있겠지요""","상하 수직관계가 철저하지 않다는점이 좋습니다
일하는데 어느정도 자율성이 보장된다는점이 좋습니다","경영과 재무구조가 그리 탄탄하지 않다는게 단점입니다
신규투자가 초래한 일인듯 합니다","전문적이고 확실한 경쟁력있는 분야가 있었으면 합니다
아직은 이점이 좀 아쉬운 부분인듯 합니다"
2.6,(주)피에이치씨,2022. 02,5점,"""점차 점진적으로 발전하는 회사라고 생각함""","다양한 사업을 접해보고 경험해보며 발전할수 있는 기업
특히 진단키트 디지털 헬스케어 관련하여 진출 가능성이 보임",아직 시작 하는 단계이기 때문에 생기는 작은 단점만이 존재함,"앞으로도 지속적인 개발과 발전 부탁드리려 세계적인
기업이 되었으면 합니다"
2.6,(주)피에이치씨,2022. 01,4점,"""연구 개발에 적극적으로 투자하고 있어 성장 가능성이 높음.""",야근 거의 없는 편. 최근 복지가 늘어나고 있음. 월말마다 조기퇴근 있음. 평균 연령대가 젊고 자유로운 분위기. 탕비실 메뉴 꽤 있음.,초과근무를 수당이 아닌 대체휴무로 지급 됨. 연말에 일 몰리면 야근으로 받은 휴가를 다 쓰기 어려운 경우가 있음.,"자기계발비 지원과 같은 복지가 더 있으면 좋을 것 같음. 회식비 제한이 너무 적어, 1개월 한정 이월이 되면 좋을 것 같음."
2.6,(주)피에이치씨,2021. 12,3점,"""잘 모르겠음. 말 그대로 보통. 연구개발이라면 와서 배울 것은 없음. 독학해야 생존가능.""",연차 사용 제한 없음. 군대 문화나 꼰대 문화 없음. 이상한 분은 빠르면 6개월 내에 늦어도 1-2년 이내에 사라진다.,근속 년수가 길지 않음. 연봉 높지 않음. 사내 인사평가는 무의미함. 사무실이 부서별로 쪼개져 있음. 회사에서 장기적인 발전 계획이나 비전 제시가 없음.,"신규 사업 검토는 면밀하게 진행하면 좋겠다. 돈이 되는 사업인지.
직원 소속을 자주 바꾸었으면 사내 대출 프로그램이라도 있으면 좋겠다. 은행에서 대출이 안된다."
2.6,(주)피에이치씨,2021. 12,3점,"""다들 친절한편, 하지만 이 회사가 개발하는 기술들이 돈이 되는 기술일까 싶음""","초역세권 지하철에서 5분만 걸으면 도착합니다.
건물이 깨끗하고 불편한 점이 없습니다.
다들 친절합니다.",연봉이 낮고 식대를 따로 주는걸 장점처럼 얘기하십니다.,연봉이나 복지를 좀 향상시켜주셨으면 좋겠습니다.
2.6,(주)피에이치씨,2021. 11,4점,"""다방면의 사업을 확대하여 성장 비전이 있으며 야근 강요 없음""","연차 사용에 있어서 눈치를 보지 않아도 되며, 의료기기업, 디지털헬스케어사업등 전반적인 사업 범위를 넓혀가고 있어 비전이 있음","복지가 기본적인 복지 밖에 없음, 업무 이외에 여가,편의 시설이 부족함",기본 복지 이외에 신경을 더 써주었으면 하며 출퇴근비용 취미 여가 활동을 위해서도 신경을 써주었으면 함
