총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.3,케이디건설(주),2022. 06,1점,"""절대가지마라. 대한민국 중소기업이유가 있다""","장점은 점심준다는것
이걸로 30자이상을 어찌 안될까요.쓸말이 마땅히 없음
또 수정요청들어오면 할말없음","1. 고인물 투성이. 부서간 갈등 많음
2. 사업인지 장사인지 구분이 안됨
3. 말만 성장통이지 실제는 지 밥그릇 채우기 바쁨
4. 내경력에 이상한 이력1줄추가","제대로 알고 실무자들 대하자 그리고 소모품도 적당히 취급하고 회의때 다 입다무는 이유는 아시는지?
실제 근무 인원이나 늘리고 업무 분담제대로나 하지. 1부터 10까지 독재니.. 퇴사율 보세요"
2.3,케이디건설(주),2021. 06,3점,"""자금력이 부족하며. 어떤 공사든 수주하려하는 공격적 기업으로 대표님은 인간적인 분으로 기억합니다""","경영진 마인드가 좋아보이며, 성장할 수 있는 기반을 마련하고자 부단히 노력하는 회사","자금력이 부족하여 항상 헐떡 거리며, 좋은 기반을 마련하길 바랍니다","직원들을 위하며, 진취적이고 안정적인 영업 활동이 필요해 보입니다."
2.3,케이디건설(주),2021. 04,3점,"""일배우기 좋은곳 실력은 금방늘수있는곳""","식사복지 및 타부서는 퇴근이 자유롭다. 회식을 하게되면 맛있는 음식은 보장된다
사람이 자주바뀌어 타부서일이 내일이 되긴하지만 길게 봤을때는 실력이 는다고 생각이된다","체계가 없고 서류화가 없는곳 퇴근시간이 자유롭지 못하며 수직적인 문화가 강하다
몇몇 사람들이 물을 흐려 사기가 저하되는경우가 있다","군대문화를 줄였으면한다 사람이 오래다닐수 있도록
경영진이 도와주길 바란다"
2.3,케이디건설(주),2021. 03,3점,"""시행위주의 업무이고 실무체계가 부족함
업무를 차근차근배우면서 근무하기는 좋음""","시행사 개발업무를 배우기에 좋음
근무환경 깨끗하고 좋음",부서간 업무협업이 다소부족하며 신규사업의 진행의 준비가 제계적이지 않음,직원들과의 소통이 원할 할때 업무완성도를 높일 수 있으며 동기부여 또한 줄수있다고 봄
2.3,케이디건설(주),2021. 02,2점,"""인생 최악를 맛보고 싶다면 도전하세요! 그 끝은 창대할 것임""",겉 표면으로 보여지기에 대기업으로 분류되어 대기업이라는 타이틀을 얻음,너무 많은 계열사 분개로 인하여 업무의 집중도가 떨어짐,계열사를 통일하거나 서로 상관되지 않아 업무에 집중할 수 있게 해주세요
2.3,케이디건설(주),2021. 01,2점,"""오래 되긴했지만 당시 인턴으로 근무하였고 사내 분위기는 평범 하였습니다. 흔히 볼수있는 오너회사였습니다""",1층 이다야 커피 쿠폰을 정기적으로 주어서 커피를 마음대로 먹을수있었고 다른 부분은 인턴이기에 장점은 모르겠습니다,인턴이여서 많은 업무를 한건 아니지만 지속적으로 사업을 넓히려 하는것 같습니다. 다방면으로,인턴이기에 말씀드릴 부분이 없습니다.. 지금은 좋은곳 잘다니고 있습니다
2.3,케이디건설(주),2020. 01,3점,"""건설회사에서 일해 볼 누 있는 경험이였고, 건설회사다 보니 페이는 괜찮습니다.""",함바집에서 나오는 그 점심은 두 번 다시 잊을수가 없습니다.,바깥에서 일하다보니 사무직이 너무 너무 부러웠습니다.,회사가 더더욱 발전할 수 있도록 힘써주세요. 파이팅.
2.3,케이디건설(주),2019. 06,1점,"""회장이 돈도 없으면서 이것저것 한다고 갈피못잡고 회사를 쥐어 흔드니 온전하게 버틸수가있나....""",일이 없어서 칼퇴근(?) 기업의 장점을 이야기 할 것 조차 없음..,그냥 기업의 최악의 요인을 두루갖추고있음. 하루하루가 고용불안정에 휩싸여 있으니 불안해서 아무것도 할 수 없음.,한 사업에 최선을 다해서 한가지에만 몰두하고 그걸 성공으로 이끌 수 있도록 노력해주세요
2.3,케이디건설(주),2019. 05,2점,"""사내소통이 이루어지지 아니함 현재 기업경영 악화로 인하여 상장유지가능성 희박""",건설관련 회사이지만 술을 권하거나 술자리 강압적인 분위기 없음,사내 소통이 이루어지지 아니하고 내부인원들도 자신들의 의견을 내지아니함,직원들과 소통을하는 부분이 필요할 것으로 사료됨니다...
2.3,케이디건설(주),2019. 04,1점,"""다양한 사람들하고 다양한 업무하고 싶은 사람에게 추천합니다.""",직급에 상관없이 능력만 된다면 다양한 사람들하고 다양한 업무를 할수 있습니다.,직급에 상관없이 능력만 된다면 다양한 사람들하고 다양한 업무를 해야합니다.,사람을 귀하게 생각하고 존중해주었으면 정말 좋겠습니다.
